,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4
,Green,Green,Green,Green,White,White,White,White,Dark,Dark,Dark,Dark,Red,Red,Red,Red
Volume,5.9328,6.2784,6.1056,6.1056,5.1264,5.9904,5.4144,5.8752,6.2784,5.4144,5.7024,6.2784,5.7024,5.8752,5.8176,5.9328
0,2037,2276,2065,2004,2312,2261,2482,3207,1813,2279,2010,1715,2003,1835,2033,1877
10,1804,2030,1999,1958,2140,2063,2122,2718,1753,2056,1873,1581,1983,1691,1691,1755
20,1677,1836,1759,1856,1912,1803,2100,2551,1801,2085,1681,1393,1963,1582,1662,1726
30,1550,1815,1736,2109,1906,1788,2097,2271,1491,2006,1437,1300,1751,1513,1528,1577
