,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4
,Green,Green,Green,Green,White,White,White,White,Dark,Dark,Dark,Dark,Red,Red,Red,Red
Volume,5.9328,6.2784,6.1056,6.1056,5.1264,5.9904,5.4144,5.8752,6.2784,5.4144,5.7024,6.2784,5.7024,5.8752,5.8176,5.9328
0,0,2738,2540,2342,3013,2640,2684,3393,2181,2516,2330,2085,2308,1984,2212,2137
10,2007,2128,2393,2110,2671,2388,2086,2929,1918,2263,2192,2040,2166,1813,2046,1936
20,1843,2013,2097,2025,2501,2284,2025,2561,1818,2058,1805,1858,2122,1806,2036,1793
30,1670,1868,1978,1907,2134,2031,1742,2410,1750,1941,1727,1528,2011,1797,1930,1701
length,2.9, 2.2, 2.3, 2.3, 2.5, 2.6, 2.3, 2.6, 2.2, 2.8, 2.9, 3, 2.4, 2.6, 2.5, 2.3
